Data Medicao;PRECIPITACAO;TEMPERATURA_MAXIMA_MEDIA;TEMPERATURA_MEDIA;TEMPERATURA_MINIMA_MEDIA
1/31/1992;171,6;24,758065;20,575484;18,003226
2/29/1992;313,8;24,444828;19,995172;17,131034
3/31/1992;135,8;25,706452;20,831613;17,577419
4/30/1992;297,9;26,386667;21,066667;17,55
5/31/1992;4,5;26,374194;20,685806;16,112903
6/30/1992;0;24,566667;18,460667;13,46
7/31/1992;0;24,696774;18,667097;13,658065
8/31/1992;19,5;26,287097;20,032258;15,1
9/30/1992;95,4;25,606667;20,267333;16,713333
10/31/1992;202,8;26,370968;20,918065;17,53871
11/30/1992;339;25,693333;20,431333;17,413333
12/31/1992;256,7;24,783871;20,087097;17,219355
1/31/1993;114,6;27,045161;21,670968;17,351613
2/28/1993;258,1;25,575;20,52;17,232143
3/31/1993;75,1;28,180645;22,450323;17,754839
4/30/1993;93,7;26,886667;21,460667;17,246667
5/31/1993;24,1;25,222581;19,314839;14,845161
6/30/1993;6,7;24,873333;18,689333;13,983333
7/31/1993;0;26,209677;19,568387;13,922581
8/31/1993;37,1;26,848387;20,585161;15,090323
9/30/1993;75,1;28,55;22,35037;17,653333
10/31/1993;75,1;27,503226;22,135484;17,903226
11/30/1993;225;27,576667;22,088667;18,393333
12/31/1993;296,5;25,674194;21,032903;17,970968
1/31/1994;166,8;25,893548;21,229677;17,870968
2/28/1994;134,8;27,175;21,898571;17,875
3/31/1994;324,4;25,603226;20,931613;17,770968
4/30/1994;143,1;26,2;21,19;17,676667
5/31/1994;69,4;26,13871;20,603871;16,4
6/30/1994;12;24,36;18,483333;13,593333
7/31/1994;4;24,293548;18,203226;13,222581
8/31/1994;0;27,051613;20,54129;14,709677
9/30/1994;0;29,496667;23,224667;17,676667
10/31/1994;50;29,958065;23,668387;18,145161
11/30/1994;268,9;27,306667;22,190667;18,383333
12/31/1994;194;26,319355;21,387097;18,235484
1/31/1995;204,6;27,032258;21,969032;18,235484
2/28/1995;158,3;26,603571;21,580741;18,057143
3/31/1995;253,1;27,451613;22,049677;18,112903
4/30/1995;140,3;26,096667;21,093333;17,746667
5/31/1995;38,4;25,564516;20,368387;16,387097
6/30/1995;0;24,84;18,74;13,613333
7/31/1995;0,1;25,319355;19,249032;14,367742
8/31/1995;0;27,587097;21,409032;15,841935
9/30/1995;0,6;28,973333;22,44;15,896667
10/31/1995;144,3;29,090323;22,851613;18,206452
11/30/1995;191,9;26,173333;21,305333;17,72
12/31/1995;244,2;25,990323;21,243226;18,229032
1/31/1996;84,7;27,354839;22,389032;18,454839
2/29/1996;91,1;28,148276;22,60069;18,489655
3/31/1996;204;27,048387;21,8;17,954839
4/30/1996;88,7;26;21,061333;17,34
5/31/1996;16,6;25,880645;20,309032;15,748387
6/30/1996;0;24,56;18,317333;13,22
7/31/1996;0;25,441935;19,045161;13,248387
8/31/1996;38,2;26,758065;20,640645;15,354839
9/30/1996;24,8;28,25;22,168;16,966667
10/31/1996;107,3;27,925806;22,491613;18,322581
11/30/1996;250,9;25,223333;20,986;17,936667
12/31/1996;250,8;27,054839;21,602581;17,96129
1/31/1997;315,4;25,183871;20,636129;17,73871
2/28/1997;68,9;26,892857;21,817857;18,064286
3/31/1997;371,9;24,712903;20,295484;17,454839
4/30/1997;135,9;25,11;20,182759;17,11
5/31/1997;60,7;24,041935;18,800645;14,796774
6/30/1997;23,9;24,186667;18,512;13,856667
7/31/1997;0;24,376667;18,48;13,603226
8/31/1997;0;26,735484;20,454839;14,709677
9/30/1997;85,2;29,556667;23,418667;18,433333
10/31/1997;104,3;29,512903;23,610323;18,535484
11/30/1997;188,5;28,29;22,911333;19,016667
12/31/1997;157,3;27,022581;21,949677;18,603226
1/31/1998;246,3;27,396774;22,299355;18,716129
2/28/1998;128,1;28,242857;23,052143;19,210714
3/31/1998;263,1;28,177419;22,981935;19,016129
4/30/1998;67;28,416667;23,084667;19,163333
5/31/1998;38,8;26,019355;20,552903;16,303226
6/30/1998;7,4;25,57;19,483333;14,33
7/31/1998;0;26,141935;19,844516;14,029032
8/31/1998;9,7;28,722581;22,444516;16,877419
9/30/1998;20,7;30,593333;23,984;18,156667
10/31/1998;125,8;28,377419;22,690323;18,545161
11/30/1998;300,5;26,436667;21,247333;17,756667
12/31/1998;167,8;26,735484;21,590323;18,187097
1/31/1999;70,8;27,183871;22,078065;18,33871
2/28/1999;108,6;27,839286;22,529286;18,532143
3/31/1999;228,1;26,829032;21,842581;18,203226
4/30/1999;60,9;27,4;21,648;17,143333
5/31/1999;8,9;26,23871;20,208387;15,141935
6/30/1999;3,3;26,396667;20,141333;14,446667
7/31/1999;0;25,748387;19,885161;14,748387
8/31/1999;0;26,483871;19,899355;14,029032
9/30/1999;59,9;28,656667;22,436;17,286667
10/31/1999;200,1;27,493548;22,233548;17,987097
11/30/1999;289,8;26,163333;20,998667;17,496667
12/31/1999;206,3;25,741935;21,066452;17,806452
1/31/2000;130;26,545161;21,614194;18,151613
2/29/2000;168,3;26,672414;21,56;17,810345
3/31/2000;229,6;26,006452;21,314839;18,067742
4/30/2000;98,8;26,476667;21,133333;16,99
5/31/2000;0;26,458065;20,374194;15,016129
6/30/2000;0;25,68;19,254;13,54
7/31/2000;0,2;25,574194;18,994194;13,596774
8/31/2000;56,3;27,716129;21,50129;15,903226
9/30/2000;105,3;26,956667;21,299333;17,016667
10/31/2000;201,8;29,23871;23,277419;18,422581
11/30/2000;231,7;25,526667;20,743333;17,693333
12/31/2000;155,3;26,745161;21,556774;18,354839
1/31/2001;179,4;26,970968;22,092258;18,116129
2/28/2001;105,9;28,528571;22,525714;18,125
3/31/2001;191,5;26,312903;21,361935;17,73871
4/30/2001;145,4;27,176667;21,854;17,753333
5/31/2001;36,2;26,6;20,815484;16,225806
6/30/2001;0;25,42;19,406667;14,58
7/31/2001;14,6;25,832258;19,833548;14,564516
8/31/2001;38,5;25,422581;19,526452;14,590323
9/30/2001;50,5;27,603333;21,827333;17,17
10/31/2001;132,5;25,987097;21,096129;17,280645
11/30/2001;199,6;25,816667;21,254;18,126667
12/31/2001;191,4;25,987097;21,448387;18,254839
1/31/2002;208,3;26,43871;21,721935;18,43871
2/28/2002;233;26,482143;21,485;18,128571
3/31/2002;133,8;27,309677;22,347742;18,570968
4/30/2002;90,1;26,626667;22,000667;17,796667
5/31/2002;18,2;26,329032;20,874194;16,267742
6/30/2002;0;24,886667;19,396;14,443333
7/31/2002;16,5;26,193548;20,101935;14,935484
8/31/2002;17,8;27,293548;21,537419;16,277419
9/30/2002;67,8;27,776667;21,912667;17,013333
10/31/2002;57,5;30,519355;24,551613;19,358065
11/30/2002;175,1;27,493333;22,470667;18,523333
12/31/2002;371,4;27,116129;22,26129;18,854839
1/31/2003;229,4;26,790323;21,832903;18,674194
2/28/2003;164,3;27,235714;22,289286;18,460714
3/31/2003;208,2;26,064516;21,089677;17,783871
4/30/2003;75,2;26,696667;21,806667;17,976667
5/31/2003;8,7;25,335484;19,772903;15,083871
6/30/2003;0;25,756667;19,654667;14,083333
7/31/2003;0;25,23871;18,952258;13,622581
8/31/2003;62,4;27,267742;20,894194;15,619355
9/30/2003;11,3;28,16;22,479333;17,71
10/31/2003;64,8;28,135484;22,428387;18,009677
11/30/2003;276,4;26,82;21,734667;17,973333
12/31/2003;191,5;28,022581;23,064516;18,819355
1/31/2004;344,4;25,464516;21,178065;18,822581
2/29/2004;422,3;25,503448;20,788966;17,975862
3/31/2004;266,8;26,006452;21,215484;18,112903
4/30/2004;171,2;25,93;21,060667;17,613333
5/31/2004;11,6;25,76129;20,68129;16,732258
6/30/2004;0;24,22;18,68;13,983333
7/31/2004;0,5;24,067742;18,012667;13,312903
8/31/2004;0;27,196774;20,62;14,687097
9/30/2004;0;30,05;23,460667;17,52
10/31/2004;172,3;28,922581;23,050968;18,622581
11/30/2004;103,9;27,603333;22,089333;18,45
12/31/2004;126;26,929032;21,72;18,077419
1/31/2005;255,2;27,077419;21,914194;18,448387
2/28/2005;262,2;27,732143;22,363571;18,357143
3/31/2005;398,6;26,877419;21,664516;18,006452
4/30/2005;28;27,393333;22,082667;17,57
5/31/2005;17;25,448387;19,714839;14,806452
6/30/2005;5,4;24,826667;19,448667;15,17
7/31/2005;0,2;25,335484;19,110323;13,954839
8/31/2005;39,1;27,406452;21,109677;16,051613
9/30/2005;55,9;29,193333;23,092667;18,58
10/31/2005;57,3;30,925806;24,767097;19,729032
11/30/2005;226,5;26,546667;21,454667;18,426667
12/31/2005;419,3;25,483871;21,063226;17,809677
1/31/2006;123,1;27,487097;22,216129;18,251613
2/28/2006;191,4;27,875;22,095;18,635714
3/31/2006;257,9;26,629032;21,660645;18,654839
4/30/2006;141,7;26,593333;21,324667;17,906667
5/31/2006;35,1;26,03871;20,149032;15,416129
6/30/2006;0,9;24,446667;18,640667;13,836667
7/31/2006;0,1;25,687097;19,268387;13,893548
8/31/2006;52,8;28,248387;21,829032;16,745161
9/30/2006;40,3;28,193333;22,175333;17,45
10/31/2006;526,4;26,532258;21,237419;18,106452
11/30/2006;195,6;26,576667;21,530667;18,04
12/31/2006;182,1;26,693548;21,805806;18,625806
1/31/2007;269,6;26,932258;22,049677;18,812903
2/28/2007;265,9;26,314286;21,417143;18,292857
3/31/2007;35,7;28,043333;22,638065;18,487097
4/30/2007;50,1;27,576667;22,124;18,073333
5/31/2007;7,5;26,883871;20,779355;15,680645
6/30/2007;0;26,163333;19,900741;14,663333
7/31/2007;0;26,732258;20,266452;14,93871
8/31/2007;0;26,903226;20,390968;14,816129
9/30/2007;0;29,563333;23,249333;17,49
10/31/2007;38,3;30,466667;24,004516;19
11/30/2007;224,9;28,106667;22,481333;18,506667
12/31/2007;275;26,867742;21,772258;18,122581
1/31/2008;201;26,458065;21,623871;18,16129
2/29/2008;227,6;26,617241;21,466897;18,141379
3/31/2008;234,6;26,196774;21,18;17,890323
4/30/2008;210,2;26,916667;21,680667;17,933333
5/31/2008;0;25,877419;20,127742;14,967742
6/30/2008;0;25,18;19,507333;14,31
7/31/2008;0;24,980645;18,895484;13,474194
8/31/2008;2,7;27,716129;21,534839;15,596774
9/30/2008;79,9;29,923333;23,142;17,606667
10/31/2008;38,7;30,309677;24,096129;18,790323
11/30/2008;271;27,233333;21,608;18,05
12/31/2008;323,4;25,919355;21,183226;18,36129
1/31/2009;205;27,209677;22,101935;18,619355
2/28/2009;134,8;27,403571;22,194286;18,45
3/31/2009;81;27,93871;22,338065;18,416129
4/30/2009;375,9;25,766667;20,910667;17,693333
5/31/2009;61,2;25,248387;20,036129;15,870968
6/30/2009;9,3;24,99;19,156;14,22
7/31/2009;0;26,606452;20,460645;14,53871
8/31/2009;72,5;26,919355;20,778065;15,764516
9/30/2009;50,5;28,306667;22,814;18,563333
10/31/2009;295,8;27,567742;21,696129;18,03871
11/30/2009;199,1;27,74;22,27;18,646667
12/31/2009;307,8;26,103226;21,282581;18,167742
1/31/2010;121;27,574194;22,423226;18,416129
2/28/2010;37,2;28,417857;23,121429;18,95
3/31/2010;244,7;28,141935;22,435484;18,845161
4/30/2010;238,8;27,103333;21,472667;16,996667
5/31/2010;27,5;27,883871;21,268387;15,767742
6/30/2010;0;26,116667;19,348667;13,493333
7/31/2010;0;25,841935;19,594194;14,4
8/31/2010;0;27,466667;20,584667;14,173333
9/30/2010;0;30,173333;23,439333;17,6
10/31/2010;189,9;29,235484;23,006452;18,741935
11/30/2010;254,5;26,25;21,214286;17,739286
12/31/2010;318;27,022581;21,865806;18,383871
1/31/2011;126,8;26,606452;21,874839;18,425806
2/28/2011;172,4;27,403846;21,740769;17,992308
3/31/2011;243,2;26,745161;21,600645;18,303226
4/30/2011;69,5;26,876667;21,555333;17,58
5/31/2011;13,9;25,829032;20,203871;15,393548
6/30/2011;3,8;25,73;19,394667;14,141379
7/31/2011;0;26,374194;19,682581;13,751613
8/31/2011;0;29,132258;22,19871;15,790323
9/30/2011;7;30,01;23,126667;17
10/31/2011;263,9;26,216129;20,767742;17,280645
11/30/2011;333,8;25,936667;20,855333;17,213333
12/31/2011;324,5;26,051613;21,032903;17,987097
1/31/2012;269,9;25,383333;20,536774;17,319355
2/29/2012;114,9;26,934483;21,498621;17,57931
3/31/2012;196,9;27,609677;21,928387;17,77
4/30/2012;121,3;27,833333;22,24;18,233333
5/31/2012;44,4;24,977419;19,516129;15,548387
6/30/2012;2,4;26,166667;20,269333;15,6
7/31/2012;0,2;26,06129;19,769032;14,141935
8/31/2012;0;26,122581;19,803226;14,558065
9/30/2012;32,9;29,916667;23,410667;18,166667
10/31/2012;109,8;30,23871;23,77871;18,545161
11/30/2012;444,6;26,593333;21,450667;17,966667
12/31/2012;141,9;28,664516;22,71871;18,093548
1/31/2013;491,8;26,083871;21,34;17,919355
2/28/2013;190,1;28,621429;22,922857;18,160714
3/31/2013;190,3;27,745161;22,350968;18,332258
4/30/2013;95,4;26,276667;20,968667;17,223333
5/31/2013;22,2;26,770968;20,680645;15,387097
6/30/2013;6,2;25,643333;20,244;15,536667
7/31/2013;0,3;26,480645;19,816774;14,176667
8/31/2013;0;27,819355;20,982581;14,693548
9/30/2013;65,9;29,193333;22,610667;17,253333
10/31/2013;106,7;28,441935;22,230323;17,612903
11/30/2013;278,8;27,293333;21,927333;17,98
12/31/2013;353,6;26,722581;21,499355;18,216129
1/31/2014;153;27,774194;22,255484;17,845161
2/28/2014;139,2;27,114286;21,884286;17,896429
3/31/2014;341,9;26,541935;21,449032;17,812903
4/30/2014;249,3;26,96;21,497333;17,86
5/31/2014;2,8;26,532258;20,533548;15,290323
6/30/2014;9,9;25,38;19,515333;14,456667
7/31/2014;7,9;25,219355;19,043871;13,996774
8/31/2014;0;27,880645;21,347097;14,96129
9/30/2014;16,2;30,19;23,77;18,256667
10/31/2014;201,4;29,903226;23,489677;18,441935
11/30/2014;192,1;27,266667;21,968;18,32
12/31/2014;366,7;26,087097;21,3;17,883871
1/31/2015;93,9;29,158065;23,315484;17,958065
2/28/2015;127;26,821429;22,028571;18,125
3/31/2015;345,5;26,090323;21,173548;17,912903
4/30/2015;206,8;26,853333;21,677333;18,276667
5/31/2015;48,3;24,664516;19,855484;16,016129
6/30/2015;0;25,324138;19,34;14,493333
7/31/2015;0,8;27,145161;20,276774;14,812903
8/31/2015;0;28,880645;21,502581;15,119355
9/30/2015;21,6;32,01;24,543333;18,323333
10/31/2015;69,4;33;25,623226;19,670968
11/30/2015;167,8;31,01;23,898;19,276667
12/31/2015;171,6;30,077419;23,51871;18,977419
1/31/2016;397,6;27,112903;21,723226;18,56129
2/29/2016;84,8;30,172414;23,473103;18,637931
3/31/2016;150,6;29,322581;23,147742;18,964516
4/30/2016;11;29,76;23,384;17,963333
5/31/2016;3,9;29,174194;21,881481;16,651613
6/30/2016;0;27,816667;20,199259;14,623333
7/31/2016;0;28,529032;20,932903;14,680645
8/31/2016;20,9;29,606452;22,162581;15,96129
9/30/2016;55,9;31,633333;24,116667;18,313333
10/31/2016;83,7;30,251613;23,596129;18,951613
11/30/2016;228,4;27,956667;22,129333;18,4
12/31/2016;156,1;28,787097;22,505161;18,258065
1/31/2017;146,5;29,096774;22,965161;18,6
2/28/2017;258,8;27,9;21,886429;18,371429
3/31/2017;177,2;29,1;22,68;18,364516
4/30/2017;26,7;28,493333;22,847333;18,67
5/31/2017;64,3;27,309677;21,390968;16,693548
6/30/2017;0;26,037931;19,882069;14,99
7/31/2017;0;23,383871;17,68129;12,770968
8/31/2017;0;28,890323;21,786452;14,93871
9/30/2017;9,2;27,936667;21,999333;16,93
10/31/2017;33,2;30,963333;24,803226;18,912903
11/30/2017;319,7;26,666667;21,75;18,343333
12/31/2017;267,6;26,548387;21,80129;18,554839
1/31/2018;151;27,374194;22,226452;18,012903
2/28/2018;272;26,842857;21,857857;18,346429
3/31/2018;241,5;27,446667;22,318667;18,816129
4/30/2018;218,9;25,543333;20,726667;17,316667
5/31/2018;10,9;25,53871;19,675484;14,532258
6/30/2018;0;25,85;19,674667;13,66
7/31/2018;0;25,95;19,391034;13,093333
8/31/2018;21,1;28,190323;21,685161;16,13871
9/30/2018;38,8;30,286667;23,463333;17,633333
10/31/2018;244;29,074194;23,397419;19,329032
11/30/2018;371,5;25,87;21,208667;18,286667
12/31/2018;178,3;27,348387;22,047742;18,190323
1/31/2019;74,3;28,622581;23,207742;18,454839
2/28/2019;151,8;28,207143;22,642143;18,789286
3/31/2019;249,8;27,122581;21,969677;18,693548
4/30/2019;311,9;27,243333;21,932667;18,296667
5/31/2019;76,9;27,090323;21,437419;16,741935
6/30/2019;6,3;25,293333;19,470667;14,526667
7/31/2019;0;25,858065;19,136774;12,893548
8/31/2019;0;28,087097;21,424828;15,422581
9/30/2019;8,7;31,356667;24,554483;18,516667
10/31/2019;20;31,335484;24,579355;19,203226
11/30/2019;237,1;29,34;23,164667;18,796667
12/31/2019;250,2;28,332258;22,796129;18,987097
1/31/2020;280,3;27,648387;22,555484;19,106452
2/29/2020;168,7;27,275862;22,070345;18,751724
3/31/2020;264,1;26,996774;21,908;18,625806
4/30/2020;159,1;26,676667;21,443333;18
5/31/2020;26,8;25,548387;19,407097;14,483871
6/30/2020;0,3;25,58;19,320667;13,84
7/31/2020;0;25,73871;19,28;13,422581
8/31/2020;0;27,148387;20,805714;14,416129
9/30/2020;0;29,840909;23,364545;17,326087
10/31/2020;147,2;29,73871;23,794667;19,293548
11/30/2020;196,8;27,166667;21,876667;18,093333
12/31/2020;136,6;28,4;22,802581;18,587097
1/31/2021;243,2;28,196774;22,428387;18,129032
2/28/2021;486,8;26,253571;21,108571;18,367857
3/31/2021;150;27,451613;21,830968;17,690323
4/30/2021;107,4;26,506667;20,973333;17,103333
5/31/2021;3,7;26,329032;20,13871;14,812903
6/30/2021;27,7;25,82;19,440667;13,903333
7/31/2021;0;25,723333;18,35;11,903226
8/31/2021;2,8;27,567742;20,863226;14,593548
9/30/2021;11,8;32,053333;24,795333;18,726667
10/31/2021;136,8;29,590323;23,337419;19,383871
11/30/2021;320,6;26,213333;21,457333;18,55
12/31/2021;340,1;26,541935;21,530968;18,619355
1/31/2022;118,9;26,680645;21,781333;18,316129
2/28/2022;204;26,907143;21,493333;18,167857
3/31/2022;101,8;28,080645;22,5;18,122581
4/30/2022;20,9;28,35;22,543333;17,856667
5/31/2022;13,3;26,429032;19,767742;14,235484
6/30/2022;0,2;26,726667;19,798;13,5
7/31/2022;0;25,993548;19,11871;13,170968
8/31/2022;0;28,167742;21,169677;14,887097
9/30/2022;34,5;29,789655;23,08069;17,37
10/31/2022;19,6;30,022581;23,715484;19,403226
11/30/2022;380,7;26,768966;20,948276;17,166667
12/31/2022;282,5;25,696774;21,095484;18,109677
